asv_code	domain	supergroup	division	subdivision	class	order	family	genus	species	trophic_mode
ZOTU-V7_23576	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23578	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23581	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23583	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_23587	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23588	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae	Dinobryon	Dinobryon_sertularia	mixotrophs
ZOTU-V7_2359	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23591	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23594	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23595	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Trebouxiophyceae_X	Trebouxiophyceae_XX	Botryococcus	Botryococcus_braunii	phototrophs
ZOTU-V7_23596	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_23597	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_236	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chloromonas	Unassigned	phototrophs
ZOTU-V7_2360	Eukaryota	TSAR	Alveolata	Apicomplexa	Gregarinomorphea	Stenophorida	Stenophoridae	Stenophora	Stenophora_robusta	parasites
ZOTU-V7_23605	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23606	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23609	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.	heterotrophs
ZOTU-V7_2361	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Plasmodiophorida_X	Unassigned	Unassigned	parasites
ZOTU-V7_23616	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_2362	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_desmodesmi	parasites
ZOTU-V7_23621	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Zygnemophyceae	Zygnemophyceae_X	Zygnemophyceae_XX	Unassigned	Unassigned	phototrophs
ZOTU-V7_23624	Eukaryota	TSAR	Stramenopiles	Gyrista	Mediophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23628	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23631	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Mastigamoebida	Mastigamoebidae	Mastigamoeba	Unassigned	heterotrophs
ZOTU-V7_2364	Eukaryota	Obazoa	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23640	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23643	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_23644	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Hymenostomatia	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23645	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae	Spumella	Spumella_sp.	phototrophs
ZOTU-V7_23646	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23647	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Chlorellales	Chlorellales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_23653	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23654	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Unassigned	Unassigned	parasites
ZOTU-V7_23655	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_23656	Eukaryota	TSAR	Stramenopiles	Gyrista	Mediophyceae	Thalassiosirales	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23658	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_2366	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.	heterotrophs
ZOTU-V7_23660	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Unassigned	Unassigned	phototrophs
ZOTU-V7_23661	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23665	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_23666	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23668	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_23670	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23671	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23672	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Thigmophryidae	Myxophyllum	Myxophyllum_sp.	heterotrophs
