"","Groups","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ZOTU-V7_2110","TSAR","Eukaryota","Stramenopiles-Bigyra","Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Pseudodendromonadales_XX","Pseudodendromonadales_XX_sp."
"ZOTU-V7_2112","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V7_2114","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2115","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2125","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V7_2113","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V7_2120","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2121","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2126","Amoebozoa","Eukaryota","Evosea-Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba",NA
"ZOTU-V7_2127","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Branchiopoda",NA,NA
"ZOTU-V7_2124","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX",NA,NA
"ZOTU-V7_2141","Excavata","Eukaryota","Metamonada-Fornicata","Fornicata_X","Diplomonadida","Hexamitidae",NA,NA
"ZOTU-V7_2130","Amoebozoa","Eukaryota","Tubulinea-Tubulinea_X","Echinamoebida","Echinamoebida_X","Echinamoebidae","Echinamoeba",NA
"ZOTU-V7_2136","Obazoa","Eukaryota","Opisthokonta-Metazoa","Rotifera","Rotifera_X","Rotifera_XX",NA,NA
"ZOTU-V7_2133","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V7_2135","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX",NA,NA
"ZOTU-V7_2137","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Geastrum",NA
"ZOTU-V7_2134","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V7_2146","Excavata","Eukaryota","Discoba-Euglenozoa","Kinetoplastea","Neobodonida","Rhynchomonadidae","Rhynchomonas","Rhynchomonas_sp."
"ZOTU-V7_2149","Excavata","Eukaryota","Metamonada-Fornicata","Fornicata_X","Diplomonadida","Hexamitidae","Trepomonas","Trepomonas_steinii"
"ZOTU-V7_2151","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida",NA,NA,NA
"ZOTU-V7_2147","Amoebozoa","Eukaryota","Evosea-Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba",NA
"ZOTU-V7_2140","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiomycota_X","Chytridiomycota_XX","Chytridiomycota_XXX","Chytridiomycota_XXX_sp."
"ZOTU-V7_2145","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Gautieria","Gautieria_otthii"
"ZOTU-V7_2161","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V7_2144","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetes_X","Agaricomycetes_X_sp."
"ZOTU-V7_2150","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiales",NA,NA,NA
"ZOTU-V7_2153","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Rhizopogon",NA
"ZOTU-V7_2163","Excavata","Eukaryota","Discoba-Euglenozoa","Kinetoplastea",NA,NA,NA,NA
"ZOTU-V7_2157","TSAR","Eukaryota","Alveolata-Ciliophora","Armophorea","Armophorea_X","Caenomorphidae","Caenomorpha","Caenomorpha_uniserialis"
"ZOTU-V7_2155","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2156","Obazoa","Eukaryota","Opisthokonta-Fungi","Zoopagomycota","Entomophthoromycotina","Entomophthoromycotina_X","Basidiobolus",NA
"ZOTU-V7_2159","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae",NA,NA
"ZOTU-V7_2160","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX",NA,NA
"ZOTU-V7_2179","Excavata","Eukaryota","Metamonada-Fornicata","Fornicata_X","Diplomonadida","Hexamitidae",NA,NA
"ZOTU-V7_2169","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Polymyxa-lineage","Polymyxa","Polymyxa_graminis"
"ZOTU-V7_2167","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V7_2171","TSAR","Eukaryota","Alveolata-Ciliophora",NA,NA,NA,NA,NA
"ZOTU-V7_2168","TSAR","Eukaryota","Alveolata-Chrompodellids","Colpodellidea","Colpodellida","Colpodellaceae","Colpodellidae2","Colpodellidae2_sp."
"ZOTU-V7_2172","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_phyllepta"
"ZOTU-V7_2173","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Sandonidae",NA,NA
"ZOTU-V7_2182","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp."
"ZOTU-V7_2170","TSAR","Eukaryota","Alveolata-Chrompodellids","Colpodellidea","Colpodellida","Alphamonaceae",NA,NA
"ZOTU-V7_2183","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp."
"ZOTU-V7_2176","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Glissomonadida",NA,NA,NA
"ZOTU-V7_2174","Obazoa","Eukaryota","Opisthokonta-Metazoa","Nematoda","Chromadorea","Chromadorea_X","Chromadorea_XX","Chromadorea_XX_sp."
"ZOTU-V7_2175","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae",NA,NA,NA,NA
"ZOTU-V7_2178","TSAR","Eukaryota","Stramenopiles-Gyrista",NA,NA,NA,NA,NA
"ZOTU-V7_2188","TSAR","Eukaryota","Alveolata-Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Sessilida_X","Sessilida_X_sp."
"ZOTU-V7_2187","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Maxillopoda","Leptodiaptomus","Leptodiaptomus_moorei"
"ZOTU-V7_2184","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V7_2199","Excavata","Eukaryota","Metamonada-Fornicata","Fornicata_X","Diplomonadida","Hexamitidae",NA,NA
"ZOTU-V7_2200","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida",NA,NA,NA
"ZOTU-V7_2186","Obazoa","Eukaryota","Opisthokonta-Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp."
"ZOTU-V7_2192","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V7_2205","Excavata","Eukaryota","Metamonada-Fornicata","Fornicata_X","Diplomonadida","Hexamitidae","Trepomonas","Trepomonas_steinii"
"ZOTU-V7_2201","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda",NA,NA,NA,NA
