"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"158","EYRI20_13",-1.17577372906558,0.610185029968176,-0.454227395174242,-0.8175,"No"
"159","EYRI20_13.5",-1.19091871906844,0.707754341606966,-0.469584972159091,-0.8175,"No"
"160","EYRI20_14",-1.48662003644542,0.594540543870178,-0.329509991174242,-0.8175,"No"
"161","EYRI20_14.5",-0.835833951012466,0.587104566355148,0.144108107840909,-0.8175,"No"
"162","EYRI20_15",-0.689002983206189,0.758486015024231,-0.355797875174242,-0.8175,"No"
"163","EYRI20_15.5",-0.807610963529348,0.705786179699764,0.100612963840909,-0.8175,"No"
"164","EYRI20_16",-0.875574323170704,0.778911374822888,-0.155897923174242,-0.8175,"No"
"165","EYRI20_16.5",-0.775952810931183,0.856930761186192,0.329204557840909,-0.8175,"No"
"166","EYRI20_17",-0.911611766648296,0.998744252637861,-0.0622298311742422,-0.8175,"No"
"167","EYRI20_17.5",-0.576631089664515,0.745972816655883,0.0657290338409089,-0.8175,"No"
"168","EYRI20_18",-0.852951141906918,0.404135649207291,-0.104242431174242,-0.8175,"No"
"169","EYRI20_18.5",-0.649123124910014,0.714496974234387,-0.218772106159091,-0.8175,"No"
"170","EYRI20_19",-0.711774382758731,1.0605001454398,-0.206593127174242,-0.8175,"No"
"171","EYRI20_19.5",-0.684643806973821,0.871596797348294,0.0446585738409091,-0.8175,"No"
"172","EYRI20_2",-0.884445191192648,-0.420085121209955,-2.45890861917424,0.353333333333333,"No"
"173","EYRI20_2.5",-0.832792422148623,-0.452189086679962,-2.38663949615909,0.25,"No"
"174","EYRI20_20",-1.01129543843559,0.550078943688807,-0.310184195174242,-0.8175,"No"
"175","EYRI20_20.5",-0.57499116903823,0.304081931331217,-0.388134666159091,-0.8175,"No"
"176","EYRI20_21",-1.1540423164954,0.885779671738419,-0.506042935174242,-0.8175,"No"
"177","EYRI20_21.5",-0.804249118644867,0.564668430709882,-0.352684366159091,-0.8175,"No"
"178","EYRI20_3",-0.69738367230282,-0.272965751696047,-1.96460037117424,-0.18,"No"
