"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"4907","ZOTU-V9_32274","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Unassigned","phototrophs"
"4908","ZOTU-V9_32275","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Lecanoromycetes","Stereocaulon","Stereocaulon_vesuvianum","symbiotrophs"
"4909","ZOTU-V9_32277","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp.",NA
"4910","ZOTU-V9_32289","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Unassigned","Unassigned","heterotrophs"
"4911","ZOTU-V9_32292","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonadales_XX","Chlamydomonadales_XX_sp.","phototrophs"
"4912","ZOTU-V9_32296","Eukaryota","Amoebozoa","Evosea","Evosea_X","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4913","ZOTU-V9_32299","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Sistotrema","Sistotrema_sernanderi","saprotrophs/symbiotrophs"
"4914","ZOTU-V9_323","Eukaryota","TSAR","Alveolata","Chrompodellids","Colpodellidea","Colpodellida","Colpodellida_CHR1","Colpodellida_CHR1_X","Colpodellida_CHR1_X_sp.",NA
"4915","ZOTU-V9_32302","Eukaryota","Amoebozoa","Evosea","Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba","Unassigned","heterotrophs"
"4916","ZOTU-V9_32303","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Unassigned","Unassigned","heterotrophs"
"4917","ZOTU-V9_32304","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Unassigned","Unassigned","Unassigned","phototrophs"
"4918","ZOTU-V9_32312","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4919","ZOTU-V9_32317","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4920","ZOTU-V9_32319","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Trechispora","Trechispora_sp.","saprotrophs"
"4921","ZOTU-V9_32328","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
